,raw,char,line
124,"RACHEL: There, there, child, of course I forgive you.  I guess I was a bit hard.  But you mustn't mind me; I'm known throughout these parts as a woman who speaks her mind.  And don't worry about your hair.  I knew a girl once who had hair every bit as red as yours, but when she grew up, it darkened into a real handsome auburn.",RACHEL,"There, there, child, of course I forgive you.  I guess I was a bit hard.  But you mustn't mind me; I'm known throughout these parts as a woman who speaks her mind.  And don't worry about your hair.  I knew a girl once who had hair every bit as red as yours, but when she grew up, it darkened into a real handsome auburn."
125,"ANNE: You have given me hope, Mrs. Lynde.  I shall always think of you as a benefactress.",ANNE,"You have given me hope, Mrs. Lynde.  I shall always think of you as a benefactress."
126,"MARILLA: Marilla, what this child needs is discipline and a proper education.  The Sunday School picnic is scheduled this week for Barry's field.  I want you to take Anne so she can meet some civilized children her own age.  Her tongue appears to be hinged in the middle, but she may turn out alright.",MARILLA,"Marilla, what this child needs is discipline and a proper education.  The Sunday School picnic is scheduled this week for Barry's field.  I want you to take Anne so she can meet some civilized children her own age.  Her tongue appears to be hinged in the middle, but she may turn out alright."
127,"MARILLA: I'm sure you're right, Rachel.",MARILLA,"I'm sure you're right, Rachel."
128,"RACHEL: And trial or no trial, you ought to put the girl into school.",RACHEL,"And trial or no trial, you ought to put the girl into school."
129,SCENE: On the road home.,SCENE,On the road home.
130,MARILLA: Putting you in school doesn't mean a decision.  It's just as easy to take you out as put you in.,MARILLA,Putting you in school doesn't mean a decision.  It's just as easy to take you out as put you in.
131,"ANNE:  I understand, Miss Cuthbert, but it does give a person reason to hope.",ANNE," I understand, Miss Cuthbert, but it does give a person reason to hope."
132,"MARILLA: I've seen some shocking behavior from you, Anne Shirley, and it does give a person reason to doubt.  Understand?",MARILLA,"I've seen some shocking behavior from you, Anne Shirley, and it does give a person reason to doubt.  Understand?"
133,"ANNE: My temper will never get the better of me again, even though I am red-haired.",ANNE,"My temper will never get the better of me again, even though I am red-haired."
134,MARILLA: I hope not.  Good behavior in the first place is more important than theatrical apologies afterwards.,MARILLA,I hope not.  Good behavior in the first place is more important than theatrical apologies afterwards.
135,"ANNE: Since, I had to do it, I thought I might as well do it thoroughly.",ANNE,"Since, I had to do it, I thought I might as well do it thoroughly."
136,"MARILLA: Save your thoroughness for prayer.  And the praying that counts, is the praying that's sincere; God does not want you for a fair-weathered friend.",MARILLA,"Save your thoroughness for prayer.  And the praying that counts, is the praying that's sincere; God does not want you for a fair-weathered friend."
137,"ANNE: The only real friend I ever had was Katie Morris, and she was only my window friend.",ANNE,"The only real friend I ever had was Katie Morris, and she was only my window friend."
138,MARILLA: Window friend?,MARILLA,Window friend?
139,"ANNE: I discovered her in the window of Mrs. Thomas' bookcase, which was the only window which hadn't been smashed by her intoxicated husband.  I lived with them before the Hammonds.  I used to wish I knew the spell to step through the glass into Katie's world, which was so beautiful.",ANNE,"I discovered her in the window of Mrs. Thomas' bookcase, which was the only window which hadn't been smashed by her intoxicated husband.  I lived with them before the Hammonds.  I used to wish I knew the spell to step through the glass into Katie's world, which was so beautiful."
140,MARILLA: I don't think you should have window friends anymore.,MARILLA,I don't think you should have window friends anymore.
141,"ANNE: My greatest wish, apart from staying at Green Gables, would be to have a bosom friend.",ANNE,"My greatest wish, apart from staying at Green Gables, would be to have a bosom friend."
142,MARILLA: A what kind of friend?,MARILLA,A what kind of friend?
143,ANNE:  A bosom friend; a really kindred spirit.  I've dreamt of meeting her all my life.,ANNE, A bosom friend; a really kindred spirit.  I've dreamt of meeting her all my life.
144,MARILLA: Diana Barry lives over there on Orchard Slope.  She's about your age.  Her parents are sponsoring the picnic next Sunday.  You can meet her.,MARILLA,Diana Barry lives over there on Orchard Slope.  She's about your age.  Her parents are sponsoring the picnic next Sunday.  You can meet her.
145,ANNE: Diana of the Lake of Shining Waters.,ANNE,Diana of the Lake of Shining Waters.
146,MARILLA: For mercy's sake child.  You set your heart too much on silly names.,MARILLA,For mercy's sake child.  You set your heart too much on silly names.
147,ANNE: What should I call you?  May I call you Aunt Marilla?,ANNE,What should I call you?  May I call you Aunt Marilla?
148,MARILLA: No.  You can call me just plain Marilla.  I don't believe in calling people names that are not their own.,MARILLA,No.  You can call me just plain Marilla.  I don't believe in calling people names that are not their own.
149,ANNE: You could imagine you were my aunt.,ANNE,You could imagine you were my aunt.
150,"MARILLA: No, I could not.",MARILLA,"No, I could not."
151,ANNE: Don't you ever imagine things different from they are?,ANNE,Don't you ever imagine things different from they are?
152,MARILLA: No.,MARILLA,No.
153,"ANNE:  Oh, Marilla, how much you miss.",ANNE," Oh, Marilla, how much you miss."
154,Script Index -- 1 -- 2 -- 3 -- 4 -- 5 -- 6 -- 7 -- 8 -- Next,Script Index -- 1 -- 2 -- 3 -- 4 -- 5 -- 6 -- 7 -- 8 -- Next,
0,Script: Part 3,Script,Part 3
1,SCENE: The Cuthbert living room.,SCENE,The Cuthbert living room.
2,MARILLA: How do you like them?,MARILLA,How do you like them?
3,ANNE: I can imagine I like them.,ANNE,I can imagine I like them.
4,MARILLA: What's the matter with them?,MARILLA,What's the matter with them?
5,"ANNE: Well, they're not very pretty.",ANNE,"Well, they're not very pretty."
6,"MARILLA: I'm not going to pamper your vanity.  These are good and sensible dresses.  This one is for Sunday, and the others you can wear to school.",MARILLA,"I'm not going to pamper your vanity.  These are good and sensible dresses.  This one is for Sunday, and the others you can wear to school."
7,"ANNE: I am greatful, but I'd be even more grateful if you'd made this one with puffed sleeves.",ANNE,"I am greatful, but I'd be even more grateful if you'd made this one with puffed sleeves."
8,MARILLA: I cannot waste material on ridiculous looking frills and furbelows.  Plain and sensible is best.,MARILLA,I cannot waste material on ridiculous looking frills and furbelows.  Plain and sensible is best.
9,ANNE: I've always dreamed of going to a picnic in puffed sleeves.  I'd rather look ridiculous with everyone else than plain and sensible all by myself.,ANNE,I've always dreamed of going to a picnic in puffed sleeves.  I'd rather look ridiculous with everyone else than plain and sensible all by myself.
10,MARILLA: Trust you for that.  Have you seen my amethyst brooch?,MARILLA,Trust you for that.  Have you seen my amethyst brooch?
11,ANNE: Yes.,ANNE,Yes.
12,MARILLA: Did you touch it?,MARILLA,Did you touch it?
13,"ANNE: I pinned it on yesterday, just to see what it looked like.",ANNE,"I pinned it on yesterday, just to see what it looked like."
14,MARILLA: You had no business to meddle with my brooch.  Where did you put it?,MARILLA,You had no business to meddle with my brooch.  Where did you put it?
15,"ANNE: Back on the pin cushion.  Honestly, Marilla, I didn't mean to meddle, and I promise I'll never do it again.  That's the one good thing about me; I never do the same wrong thing twice.",ANNE,"Back on the pin cushion.  Honestly, Marilla, I didn't mean to meddle, and I promise I'll never do it again.  That's the one good thing about me; I never do the same wrong thing twice."
16,MARILLA: The brooch is gone and you were the last one to handle it.  Did you take it out and lose it?,MARILLA,The brooch is gone and you were the last one to handle it.  Did you take it out and lose it?
17,ANNE: I didn't.,ANNE,I didn't.
18,"MARILLA: Anne Shirley, you are telling me a falsehood.  Go to your room.  And you will stay in your room until you confess, even if it takes a month of Sundays.",MARILLA,"Anne Shirley, you are telling me a falsehood.  Go to your room.  And you will stay in your room until you confess, even if it takes a month of Sundays."
19,"ANNE: Let me out for the picnic.  I'll stay in my room as long as you like, I just have to go to the picnic.",ANNE,"Let me out for the picnic.  I'll stay in my room as long as you like, I just have to go to the picnic."
20,MARILLA: You are not going to the picnic or anywhere else until you tell me the truth.,MARILLA,You are not going to the picnic or anywhere else until you tell me the truth.
21,"ANNE: If I don't go to the picnic, how will I ever make a bosom friend, or any friend at all?",ANNE,"If I don't go to the picnic, how will I ever make a bosom friend, or any friend at all?"
22,MARILLA: That brooch meant a great deal to me; more than any picnic.  Now go to your room.,MARILLA,That brooch meant a great deal to me; more than any picnic.  Now go to your room.
23,SCENE: The Cuthbert kitchen.,SCENE,The Cuthbert kitchen.
24,"MARILLA: I've looked in every crack and cranny.  You might as well face it, Matthew.  She's taken that brooch and lied about it.  I feel worse about that than about the brooch.",MARILLA,"I've looked in every crack and cranny.  You might as well face it, Matthew.  She's taken that brooch and lied about it.  I feel worse about that than about the brooch."
25,MATTHEW: Are you sure it didn't fall behind the bureau?,MATTHEW,Are you sure it didn't fall behind the bureau?
26,"MARILLA: I moved the bureau.  I even checked the cracks in the floor.  I know how you feel, Matthew, and in my heart I was prepared to let you have your way, but now I realize that I was right not to be too hasty.  We can't keep her, liar and a theif, Matthew, and you know it.",MARILLA,"I moved the bureau.  I even checked the cracks in the floor.  I know how you feel, Matthew, and in my heart I was prepared to let you have your way, but now I realize that I was right not to be too hasty.  We can't keep her, liar and a theif, Matthew, and you know it."
27,SCENE: Anne's room.,SCENE,Anne's room.
28,"ANNE: Marilla, I'm ready to confess.",ANNE,"Marilla, I'm ready to confess."
29,MARILLA: What have you to say for yourself?,MARILLA,What have you to say for yourself?
30,"ANNE: I took the brooch because I was too overcome with irresistable temptation.  I was imagining I was Lady Cordelia Fitzgerald, and I just had to wear the brooch over the footbridge of the Lake of Shining Waters, with the wind blowing my auburn hair over to Camelot.  I thought I could put it back before you came home, but as I leaned over to look at my reflection in the lake, it slipped from my fingers and sank beneath the rippling waves.  The best I can do at confessing.  Now may I go to the picnic?",ANNE,"I took the brooch because I was too overcome with irresistable temptation.  I was imagining I was Lady Cordelia Fitzgerald, and I just had to wear the brooch over the footbridge of the Lake of Shining Waters, with the wind blowing my auburn hair over to Camelot.  I thought I could put it back before you came home, but as I leaned over to look at my reflection in the lake, it slipped from my fingers and sank beneath the rippling waves.  The best I can do at confessing.  Now may I go to the picnic?"
31,MARILLA: No.,MARILLA,No.
32,"ANNE: I realize the importance of the brooch, Marilla.  Was it a keepsake from a tragic romance?  You did say I could go if I confessed.",ANNE,"I realize the importance of the brooch, Marilla.  Was it a keepsake from a tragic romance?  You did say I could go if I confessed."
33,MARILLA: What you can do is pack your bags and start imagining your life with Mrs. Blewett.,MARILLA,What you can do is pack your bags and start imagining your life with Mrs. Blewett.
34,SCENE: The Cuthbert foyer.,SCENE,The Cuthbert foyer.
35,MARILLA: Rachel Lynde was right.  I can't imagine how I let that child worm her way into my affections.  I'm furious at myself for having let this happen.,MARILLA,Rachel Lynde was right.  I can't imagine how I let that child worm her way into my affections.  I'm furious at myself for having let this happen.
36,MATTHEW: Marilla!,MATTHEW,Marilla!
37,SCENE: Anne's room.,SCENE,Anne's room.
38,MARILLA: What ever made you say that you took it and lost it?,MARILLA,What ever made you say that you took it and lost it?
39,ANNE: You said you'd keep me in my room until I confessed.  I just thought up a good confession and made it as interesting as I could.,ANNE,You said you'd keep me in my room until I confessed.  I just thought up a good confession and made it as interesting as I could.
40,MARILLA: But it was still a lie.,MARILLA,But it was still a lie.
41,ANNE: You wouldn't believe the truth.,ANNE,You wouldn't believe the truth.
42,"MARILLA: You do beat all, child.  But, I'll forgive you if you'll forgive me.  Now, you get dressed for service.",MARILLA,"You do beat all, child.  But, I'll forgive you if you'll forgive me.  Now, you get dressed for service."
43,SCENE: The Sunday School Picnic.,SCENE,The Sunday School Picnic.
44,"MR. BARRY: Hello, Miss Cuthbert.",MR. BARRY,"Hello, Miss Cuthbert."
45,"MARILLA: Good afternoon, Mr. Barry.  I'd like you to meet Anne Shirley.",MARILLA,"Good afternoon, Mr. Barry.  I'd like you to meet Anne Shirley."
46,MR. BARRY: Hello.,MR. BARRY,Hello.
47,"ANNE: How do you do, Mr. Barry?",ANNE,"How do you do, Mr. Barry?"
48,"MR. BARRY: You should meet my daughter, Diana.  She's over there in the garden.  Matthew...",MR. BARRY,"You should meet my daughter, Diana.  She's over there in the garden.  Matthew..."
49,"MARILLA: For pity's sake, calm down, Anne.  And don't make any of your fabulous speeches.  Goodness knows what Rachel has told them already.",MARILLA,"For pity's sake, calm down, Anne.  And don't make any of your fabulous speeches.  Goodness knows what Rachel has told them already."
50,"ANNE: Oh, you'd be excited too, if you were going to eat icecream for the first time in your life.",ANNE,"Oh, you'd be excited too, if you were going to eat icecream for the first time in your life."
51,"RACHEL: Ah, Marilla.  Anne.",RACHEL,"Ah, Marilla.  Anne."
52,MARILLA: Rachel.  Rev. Allan.  Mrs. Allan.,MARILLA,Rachel.  Rev. Allan.  Mrs. Allan.
53,"RACHEL: This is the orphan girl that the Cuthberts are looking after.  Anne Shirley, this is the Reverend and Mrs. Allan.",RACHEL,"This is the orphan girl that the Cuthberts are looking after.  Anne Shirley, this is the Reverend and Mrs. Allan."
54,"MRS. ALLAN: How are you, Anne?",MRS. ALLAN,"How are you, Anne?"
55,"ANNE: Well in body, although considerably ruffled in spirit, thank you.  [to Marilla] There wasn't anything shocking in that, was there, Marilla?",ANNE,"Well in body, although considerably ruffled in spirit, thank you.  [to Marilla] There wasn't anything shocking in that, was there, Marilla?"
56,"MRS. ALLAN: We must try our best to relieve your jitters.  Won't you and Anne join us for tea, Miss Cuthbert?",MRS. ALLAN,"We must try our best to relieve your jitters.  Won't you and Anne join us for tea, Miss Cuthbert?"
57,"MARILLA: I've been counting on you coming to Green Gables, now that you've moved into the manse.",MARILLA,"I've been counting on you coming to Green Gables, now that you've moved into the manse."
58,"REV. ALLAN: I've given Elizabeth tremendous reports about your home baking, and your red current wine, Miss Cuthbert.  She is anxious to learn your secrets.",REV. ALLAN,"I've given Elizabeth tremendous reports about your home baking, and your red current wine, Miss Cuthbert.  She is anxious to learn your secrets."
59,"MRS. BARRY: Marilla, I'm so pleased you could come.  This must be Anne we've heard so much about.  This is my Diana.  Perhaps Anne would like some icecream and lemonade, Diana.",MRS. BARRY,"Marilla, I'm so pleased you could come.  This must be Anne we've heard so much about.  This is my Diana.  Perhaps Anne would like some icecream and lemonade, Diana."
60,MRS. ALLAN: I think she's enchanting.,MRS. ALLAN,I think she's enchanting.
61,"MRS. BARRY: Will you keep her, then, Marilla?",MRS. BARRY,"Will you keep her, then, Marilla?"
62,"MARILLA: Well, if she can avoid catastophe two days in a row, I might have a chance to make up my mind.",MARILLA,"Well, if she can avoid catastophe two days in a row, I might have a chance to make up my mind."
63,SCENE: The three-legged race.,SCENE,The three-legged race.
64,"ANNE: Marilla has given me strict instructions not to talk a head off.  I do have a habit of chattering on so.  Why, if I could imagine myself as a bird, a magpie would probably be the closest thing I could resemble.  Oh, Diana, I've always dreamed of being in a three-legged race at a picnic.  Would you do me the honor of being my patner?",ANNE,"Marilla has given me strict instructions not to talk a head off.  I do have a habit of chattering on so.  Why, if I could imagine myself as a bird, a magpie would probably be the closest thing I could resemble.  Oh, Diana, I've always dreamed of being in a three-legged race at a picnic.  Would you do me the honor of being my patner?"
65,DIANA: But there aren't any other girls in it.,DIANA,But there aren't any other girls in it.
66,"ANNE:You're a sturdy looking girl, and I'm fast.  I know we'd stand a good chance.","ANNE:You're a sturdy looking girl, and I'm fast.  I know we'd stand a good chance.",
67,DIANA: I guess so.,DIANA,I guess so.
68,ANNE:Come on!,ANNE:Come on!,
69,"GILBERT: Hey, Diana, who's your friend?",GILBERT,"Hey, Diana, who's your friend?"
70,DIANA: Anne Shirely.,DIANA,Anne Shirely.
71,"MR. BARRY: On your marks.  Get set.  [gun shot]  I never expected a daughter of mine to outrun the boys.  I'm very proud of you, Diana.",MR. BARRY,"On your marks.  Get set.  [gun shot]  I never expected a daughter of mine to outrun the boys.  I'm very proud of you, Diana."
72,SCENE: Barry's pond.,SCENE,Barry's pond.
73,"ANNE:I think we're heroic winners, Diana.  Don't you?","ANNE:I think we're heroic winners, Diana.  Don't you?",
74,DIANA: I think it's a shame that Gilbert had to lose on a count of Moody.  Don't you think Gilbert's handsome?,DIANA,I think it's a shame that Gilbert had to lose on a count of Moody.  Don't you think Gilbert's handsome?
75,ANNE: He is handsome.  But I think your Gilbert is awfully bold to wink at a strange girl.,ANNE,He is handsome.  But I think your Gilbert is awfully bold to wink at a strange girl.
76,"DIANA: I wish he'd wink at me.  He's sixteen, but he's in our class.  His father's been ill and he's been away for two years.",DIANA,"I wish he'd wink at me.  He's sixteen, but he's in our class.  His father's been ill and he's been away for two years."
77,"ANNE:Good.  I mean, I don't want to be the only one who's behind in school.","ANNE:Good.  I mean, I don't want to be the only one who's behind in school.",
78,"DIANA: That's Mr. Phillips, our school teacher.  He's dead-gone on Prissy Andrews, and Prissy thinks she's queen bee just because she's studying her entrance to Queens.  He moons over her something terrible.  That's Josie Pye, and she moons over Gilbert.  Oh, Josie just want attention.  I hope she nearly drowns.",DIANA,"That's Mr. Phillips, our school teacher.  He's dead-gone on Prissy Andrews, and Prissy thinks she's queen bee just because she's studying her entrance to Queens.  He moons over her something terrible.  That's Josie Pye, and she moons over Gilbert.  Oh, Josie just want attention.  I hope she nearly drowns."
79,ANNE:I wish it had me.  It would be such a romantic experience nearly to drown.,ANNE:I wish it had me.  It would be such a romantic experience nearly to drown.,
80,"DIANA: I heard before that you're kind of a strange girl, Anne Shirley, but I have a feeling we're going to get along really well.",DIANA,"I heard before that you're kind of a strange girl, Anne Shirley, but I have a feeling we're going to get along really well."
81,SCENE: The schoolhouse.,SCENE,The schoolhouse.
82,MR. PHILLIPS: What is your name?,MR. PHILLIPS,What is your name?
83,"ANNE:Anne Shirley.  Anne's spelled with an ""e"".","ANNE:Anne Shirley.  Anne's spelled with an ""e"".",
84,MR. PHILLIPS: We pride ourselves on our scholastic record.  And we hope you will strive to meet our standards.,MR. PHILLIPS,We pride ourselves on our scholastic record.  And we hope you will strive to meet our standards.
85,"ANNE:Oh, I'm sure I will, Mr. Phillips.  I've taught children younger than myself to read before, and both my parents were teachers.  I'm positive we'll have a lot in common.","ANNE:Oh, I'm sure I will, Mr. Phillips.  I've taught children younger than myself to read before, and both my parents were teachers.  I'm positive we'll have a lot in common.",
86,MR. PHILLIPS: You will share a seat with Diana Barry.,MR. PHILLIPS,You will share a seat with Diana Barry.
87,"ANNE:Oh, thank you, Mr. Phillips.  Diana Barry is my bosom friend.","ANNE:Oh, thank you, Mr. Phillips.  Diana Barry is my bosom friend.",
88,MR. PHILLIPS: Please take your seat and read your lesson.  I must work with my Queens student now.  Alright class.  Take out your notebooks.  Memorize the dictation from yesterday.,MR. PHILLIPS,Please take your seat and read your lesson.  I must work with my Queens student now.  Alright class.  Take out your notebooks.  Memorize the dictation from yesterday.
89,"GILBERT:  Hey, Carrots.  [hissing]Carrots!",GILBERT," Hey, Carrots.  [hissing]Carrots!"
90,ANNE:  How dare you!,ANNE, How dare you!
91,MR. PHILLIPS: Anne Shirley!  What is the meaning of this?,MR. PHILLIPS,Anne Shirley!  What is the meaning of this?
92,"GILBERT: It was my fault, Sir.  I was teasing her.",GILBERT,"It was my fault, Sir.  I was teasing her."
93,"MR. PHILLIPS: Stand at the blackboard for the rest of the day.  I will not tolerate this kind of  indignant temperment in my class.  ""Ann Shirley has a very bad temper.""  And she will learn to control it.  You will write this one hundred times before leaving today.",MR. PHILLIPS,"Stand at the blackboard for the rest of the day.  I will not tolerate this kind of  indignant temperment in my class.  ""Ann Shirley has a very bad temper.""  And she will learn to control it.  You will write this one hundred times before leaving today."
94,SCENE: Outside the schoolhouse.,SCENE,Outside the schoolhouse.
95,"GILBERT: Anne, wait!  I'm sorry for teasing you about your hair.  Don't be mad at me for keeps.",GILBERT,"Anne, wait!  I'm sorry for teasing you about your hair.  Don't be mad at me for keeps."
96,"DIANA: Oh, Anne, how could you?  Gilbert always makes fun of the girls.  He calls me crow-head all the time, but I've never heard him apologize before.",DIANA,"Oh, Anne, how could you?  Gilbert always makes fun of the girls.  He calls me crow-head all the time, but I've never heard him apologize before."
97,"ANNE: There's a world of difference between being called crow-head and being called carrots.  I shall never forgive Gilbert Blythe.  The iron has entered my soul, Diana.  My mind is made up; my red hair is a curse.",ANNE,"There's a world of difference between being called crow-head and being called carrots.  I shall never forgive Gilbert Blythe.  The iron has entered my soul, Diana.  My mind is made up; my red hair is a curse."
98,SCENE: Anne's room.,SCENE,Anne's room.
99,"MARILLA: Anne Shirley, I've heard all about it.  Now you open your door at once!",MARILLA,"Anne Shirley, I've heard all about it.  Now you open your door at once!"
100,"ANNE: Please go away, Marilla.  I'm in the depths of despair.",ANNE,"Please go away, Marilla.  I'm in the depths of despair."
101,"MARILLA: Oh, fiddlesticks.  Now, you open this door at once!  Are you sick?",MARILLA,"Oh, fiddlesticks.  Now, you open this door at once!  Are you sick?"
102,ANNE: Go away.  Don't look at me.,ANNE,Go away.  Don't look at me.
103,"MARILLA: Oh, don't play innocent with me.  I'm so ashamed I don't know where to begin.  What do you mean by breakinging your slate over some boy's head?",MARILLA,"Oh, don't play innocent with me.  I'm so ashamed I don't know where to begin.  What do you mean by breakinging your slate over some boy's head?"
104,ANNE:  He called me Carrots.,ANNE, He called me Carrots.
105,"MARILLA: I don't care what he called you.  You have no reason to lose your temper.  Anne Shirley, what have you done to your hair?",MARILLA,"I don't care what he called you.  You have no reason to lose your temper.  Anne Shirley, what have you done to your hair?"
106,"ANNE: Marilla, I thought nothing could be as bad as red hair.  Green is ten times worse.  You don't know how utterly wretched I am.",ANNE,"Marilla, I thought nothing could be as bad as red hair.  Green is ten times worse.  You don't know how utterly wretched I am."
107,"MARILLA: I little know how you got into this fix, but I demand that you tell me.",MARILLA,"I little know how you got into this fix, but I demand that you tell me."
108,ANNE: I dyed it.,ANNE,I dyed it.
109,"MARILLA: Dyed it?  For mercy's sake, child.",MARILLA,"Dyed it?  For mercy's sake, child."
110,ANNE: But he positively assured me it'd turn my hair a beautiful raven black.,ANNE,But he positively assured me it'd turn my hair a beautiful raven black.
111,MARILLA: Who did?  Who are you talking about?,MARILLA,Who did?  Who are you talking about?
112,ANNE: The peddlar we met on the road today.,ANNE,The peddlar we met on the road today.
113,"MARILLA: I absolutely forbid you to--.  What's the use?  Well, I hope that this has opened your eyes to see where your vanity has taken you.",MARILLA,"I absolutely forbid you to--.  What's the use?  Well, I hope that this has opened your eyes to see where your vanity has taken you."
114,ANNE: What shall I do?  I'll never be able to live this down.  I can't face him again.  Gilbert Blythe had no right to call me carrots.,ANNE,What shall I do?  I'll never be able to live this down.  I can't face him again.  Gilbert Blythe had no right to call me carrots.
115,MARILLA: You really smashed your slate over that boy's head?,MARILLA,You really smashed your slate over that boy's head?
116,ANNE: Yes.,ANNE,Yes.
117,MARILLA: Hard?,MARILLA,Hard?
118,"ANNE: Very hard, I'm afraid.",ANNE,"Very hard, I'm afraid."
119,"MARILLA: I know I should be angry.  I should be furious.  What a way to behave your first day at school!  But, it you promise me nothing of the sort will happen again, I won't say another word about it.",MARILLA,"I know I should be angry.  I should be furious.  What a way to behave your first day at school!  But, it you promise me nothing of the sort will happen again, I won't say another word about it."
120,ANNE: You're not going to send me back?,ANNE,You're not going to send me back?
121,MARILLA: I've come to a decision.  Trial is over.  You will stay at Green Gables.,MARILLA,I've come to a decision.  Trial is over.  You will stay at Green Gables.
122,ANNE: Marilla!,ANNE,Marilla!
123,MARILLA: I think you may be a kindred spirit after all.,MARILLA,I think you may be a kindred spirit after all.
124,SCENE: The Cuthbert livingroom.,SCENE,The Cuthbert livingroom.
125,"ANNE: I shall never, ever look at myself again.",ANNE,"I shall never, ever look at myself again."
126,"MATTHEW: Well, you're our girl now, and the prettiest one this side of Halifax.",MATTHEW,"Well, you're our girl now, and the prettiest one this side of Halifax."
127,"MARILLA: Alright, now.  Stop this nonsense.",MARILLA,"Alright, now.  Stop this nonsense."
128,SCENE: By a stream.,SCENE,By a stream.
129,ANNE: Some girls in books lose their hair in fevers or sell it for money for some good deed.  I'm sure I wouldn't have minded losing my hair like that.  There's nothing comforting in having your hair cut off because you dyed it.,ANNE,Some girls in books lose their hair in fevers or sell it for money for some good deed.  I'm sure I wouldn't have minded losing my hair like that.  There's nothing comforting in having your hair cut off because you dyed it.
130,DIANA: This is the very last of the Queen Anne's Lace for the summer.  Don't worry about your hair.  No one even notices it anymore.,DIANA,This is the very last of the Queen Anne's Lace for the summer.  Don't worry about your hair.  No one even notices it anymore.
131,ANNE: Everytime I look at myself I do penance by saying how ugly I am.  I don't even try to imagine it away.,ANNE,Everytime I look at myself I do penance by saying how ugly I am.  I don't even try to imagine it away.
132,SCENE:  The woods beyond the Cuthbert house.,SCENE, The woods beyond the Cuthbert house.
133,"ANNE: Diana, aren't you supposed to be studying?",ANNE,"Diana, aren't you supposed to be studying?"
134,"DIANA: I know, but I had to talk to you right away.  That's why I used the white flags.",DIANA,"I know, but I had to talk to you right away.  That's why I used the white flags."
135,ANNE: Well?,ANNE,Well?
136,"DIANA: Just let me catch my breath.  Mother thought I was upstairs studying, but I was in the pantry getting some cookies, and I overheard her talking with Mrs. Blair.  They were talking about what happened with you and Gilbert Blythe, and mother said you have a disposition just like Marilla's.  She said something about Marilla having been betrothed once, many years ago, but because of a quarrel, she never married, and she's had to live with her brother ever since.",DIANA,"Just let me catch my breath.  Mother thought I was upstairs studying, but I was in the pantry getting some cookies, and I overheard her talking with Mrs. Blair.  They were talking about what happened with you and Gilbert Blythe, and mother said you have a disposition just like Marilla's.  She said something about Marilla having been betrothed once, many years ago, but because of a quarrel, she never married, and she's had to live with her brother ever since."
137,ANNE: So that's it!,ANNE,So that's it!
138,DIANA: What?,DIANA,What?
139,ANNE: Poor Marilla's been thwarted in love.  It must have been a supremely tragic romance.  Did they say anything else?,ANNE,Poor Marilla's been thwarted in love.  It must have been a supremely tragic romance.  Did they say anything else?
140,"DIANA: No, but I'll keep my ears open.  I have to go, now.  Mother doesn't know I'm gone.  ",DIANA,"No, but I'll keep my ears open.  I have to go, now.  Mother doesn't know I'm gone.  "
141,ANNE: Good luck on the exam tomorrow.,ANNE,Good luck on the exam tomorrow.
142,"DIANA: You, too.  I hope you stand first.",DIANA,"You, too.  I hope you stand first."
143,ANNE: I am endebted to you for life.,ANNE,I am endebted to you for life.
144,  ,  ,
145,SCENE: The schoolhouse.,SCENE,The schoolhouse.
146,"MR. PHILLIPS: Alright, class.  Times up.  Place your pencils beside your papers.  I'll collect your papers once everyone has left.  However, before everyone leaves for lunch, I would like to announce the mathematics half-term results.  The three best standings are as follows: first, Gilbert Blythe; second, Anne Shirley; third, Prissy Andrews.  I think Miss Andrews has shown excellent progress under my tutelage.  Class dismissed.",MR. PHILLIPS,"Alright, class.  Times up.  Place your pencils beside your papers.  I'll collect your papers once everyone has left.  However, before everyone leaves for lunch, I would like to announce the mathematics half-term results.  The three best standings are as follows: first, Gilbert Blythe; second, Anne Shirley; third, Prissy Andrews.  I think Miss Andrews has shown excellent progress under my tutelage.  Class dismissed."
147,"DIANA: He's only smiling to congradulate you, Anne.",DIANA,"He's only smiling to congradulate you, Anne."
148,ANNE: I think he was trying to rub it in.,ANNE,I think he was trying to rub it in.
149,SCENE: On a road.,SCENE,On a road.
150,"VARIOUS VOICES: It's Crow-head.  It's Carrots.  Load up, guys.  Load up.  Carrots.  They won't come; they're chicken.  They're going to go through the...",VARIOUS VOICES,"It's Crow-head.  It's Carrots.  Load up, guys.  Load up.  Carrots.  They won't come; they're chicken.  They're going to go through the..."
151,"DIANA: Let's take the shortcut through the pasture, Anne.  We'll be late.",DIANA,"Let's take the shortcut through the pasture, Anne.  We'll be late."
152,"ANNE: Don't be afraid of the bullies, Diana.  We'll be completely civilized and take the road.  I have no intention of arriving out of breath for our examination.",ANNE,"Don't be afraid of the bullies, Diana.  We'll be completely civilized and take the road.  I have no intention of arriving out of breath for our examination."
153,VARIOUS VOICES: Hit them!  Harder!,VARIOUS VOICES,Hit them!  Harder!
154,"ANNE: Charlie Sloan, you meansly little boy, you ought to be horse-whipped!",ANNE,"Charlie Sloan, you meansly little boy, you ought to be horse-whipped!"
155,VARIOUS VOICES: You're right!  Carrots!  Carrots!,VARIOUS VOICES,You're right!  Carrots!  Carrots!
